city,date,year,month,home_value,monthly_rent,median_income,affordability_index
"Chicago, IL",2015-01-31,2015,1,191604,1344.0,72790,0.526
"Chicago, IL",2015-02-28,2015,2,191912,1351.0,72790,0.527
"Chicago, IL",2015-03-31,2015,3,192443,1361.0,72790,0.529
"Chicago, IL",2015-04-30,2015,4,192964,1370.0,72790,0.53
"Chicago, IL",2015-05-31,2015,5,193828,1380.0,72790,0.533
"Chicago, IL",2015-06-30,2015,6,194527,1389.0,72790,0.534
"Chicago, IL",2015-07-31,2015,7,195312,1393.0,72790,0.537
"Chicago, IL",2015-08-31,2015,8,195979,1396.0,72790,0.538
"Chicago, IL",2015-09-30,2015,9,196767,1391.0,72790,0.541
"Chicago, IL",2015-10-31,2015,10,197847,1384.0,72790,0.544
"Chicago, IL",2015-11-30,2015,11,198980,1378.0,72790,0.547
"Chicago, IL",2015-12-31,2015,12,200148,1378.0,72790,0.55
"Chicago, IL",2016-01-31,2016,1,201294,1386.0,75380,0.534
"Chicago, IL",2016-02-29,2016,2,202469,1395.0,75380,0.537
"Chicago, IL",2016-03-31,2016,3,203252,1406.0,75380,0.539
"Chicago, IL",2016-04-30,2016,4,203987,1414.0,75380,0.541
"Chicago, IL",2016-05-31,2016,5,204626,1422.0,75380,0.543
"Chicago, IL",2016-06-30,2016,6,205396,1429.0,75380,0.545
"Chicago, IL",2016-07-31,2016,7,205814,1435.0,75380,0.546
"Chicago, IL",2016-08-31,2016,8,206189,1438.0,75380,0.547
"Chicago, IL",2016-09-30,2016,9,206614,1432.0,75380,0.548
"Chicago, IL",2016-10-31,2016,10,207393,1423.0,75380,0.55
"Chicago, IL",2016-11-30,2016,11,208306,1411.0,75380,0.553
"Chicago, IL",2016-12-31,2016,12,209515,1406.0,75380,0.556
"Chicago, IL",2017-01-31,2017,1,210765,1412.0,76710,0.55
"Chicago, IL",2017-02-28,2017,2,212127,1425.0,76710,0.553
"Chicago, IL",2017-03-31,2017,3,213653,1443.0,76710,0.557
"Chicago, IL",2017-04-30,2017,4,214939,1456.0,76710,0.56
"Chicago, IL",2017-05-31,2017,5,215965,1467.0,76710,0.563
"Chicago, IL",2017-06-30,2017,6,216331,1473.0,76710,0.564
"Chicago, IL",2017-07-31,2017,7,216552,1475.0,76710,0.565
"Chicago, IL",2017-08-31,2017,8,216735,1470.0,76710,0.565
"Chicago, IL",2017-09-30,2017,9,217406,1465.0,76710,0.567
"Chicago, IL",2017-10-31,2017,10,218348,1454.0,76710,0.569
"Chicago, IL",2017-11-30,2017,11,219516,1448.0,76710,0.572
"Chicago, IL",2017-12-31,2017,12,220753,1446.0,76710,0.576
"Chicago, IL",2018-01-31,2018,1,222136,1454.0,77700,0.572
"Chicago, IL",2018-02-28,2018,2,223462,1465.0,77700,0.575
"Chicago, IL",2018-03-31,2018,3,224995,1478.0,77700,0.579
"Chicago, IL",2018-04-30,2018,4,226193,1488.0,77700,0.582
"Chicago, IL",2018-05-31,2018,5,227131,1498.0,77700,0.585
"Chicago, IL",2018-06-30,2018,6,227235,1507.0,77700,0.585
"Chicago, IL",2018-07-31,2018,7,227275,1511.0,77700,0.585
"Chicago, IL",2018-08-31,2018,8,227193,1509.0,77700,0.585
"Chicago, IL",2018-09-30,2018,9,227290,1498.0,77700,0.585
"Chicago, IL",2018-10-31,2018,10,227429,1487.0,77700,0.585
"Chicago, IL",2018-11-30,2018,11,227732,1481.0,77700,0.586
"Chicago, IL",2018-12-31,2018,12,228309,1482.0,77700,0.588
"Chicago, IL",2019-01-31,2019,1,229178,1491.0,83260,0.551
"Chicago, IL",2019-02-28,2019,2,230360,1501.0,83260,0.553
"Chicago, IL",2019-03-31,2019,3,231476,1516.0,83260,0.556
"Chicago, IL",2019-04-30,2019,4,232369,1529.0,83260,0.558
"Chicago, IL",2019-05-31,2019,5,232774,1541.0,83260,0.559
"Chicago, IL",2019-06-30,2019,6,232978,1548.0,83260,0.56
"Chicago, IL",2019-07-31,2019,7,232801,1550.0,83260,0.559
"Chicago, IL",2019-08-31,2019,8,232589,1550.0,83260,0.559
"Chicago, IL",2019-09-30,2019,9,232144,1544.0,83260,0.558
"Chicago, IL",2019-10-31,2019,10,232035,1538.0,83260,0.557
"Chicago, IL",2019-11-30,2019,11,232229,1531.0,83260,0.558
"Chicago, IL",2019-12-31,2019,12,232848,1527.0,83260,0.559
"Chicago, IL",2020-01-31,2020,1,233954,1535.0,81580,0.574
"Chicago, IL",2020-02-29,2020,2,235272,1546.0,81580,0.577
"Chicago, IL",2020-03-31,2020,3,236654,1561.0,81580,0.58
"Chicago, IL",2020-04-30,2020,4,237518,1562.0,81580,0.582
"Chicago, IL",2020-05-31,2020,5,237610,1562.0,81580,0.583
"Chicago, IL",2020-06-30,2020,6,237157,1559.0,81580,0.581
"Chicago, IL",2020-07-31,2020,7,236689,1559.0,81580,0.58
"Chicago, IL",2020-08-31,2020,8,237010,1554.0,81580,0.581
"Chicago, IL",2020-09-30,2020,9,238555,1540.0,81580,0.585
"Chicago, IL",2020-10-31,2020,10,240958,1520.0,81580,0.591
