city,year,avg_rent,avg_income,rent_to_income_pct
"Chicago, IL",2015,1376.25,72790.00,22.69
"Chicago, IL",2016,1416.42,75380.00,22.55
"Chicago, IL",2017,1452.83,76710.00,22.73
"Chicago, IL",2018,1488.17,77700.00,22.98
"Chicago, IL",2019,1530.50,83260.00,22.06
"Chicago, IL",2020,1541.67,81580.00,22.68
"Chicago, IL",2021,1590.50,81270.00,23.48
"Chicago, IL",2022,1742.67,79500.00,26.30
"Chicago, IL",2023,1852.50,82690.00,26.88
"Chicago, IL",2024,1948.00,83730.00,27.92
"Houston, TX",2015,1213.67,72790.00,20.01
"Houston, TX",2016,1223.58,75380.00,19.48
"Houston, TX",2017,1241.83,76710.00,19.43
"Houston, TX",2018,1287.42,77700.00,19.88
"Houston, TX",2019,1309.58,83260.00,18.87
"Houston, TX",2020,1327.83,81580.00,19.53
"Houston, TX",2021,1413.92,81270.00,20.88
"Houston, TX",2022,1536.17,79500.00,23.19
"Houston, TX",2023,1580.50,82690.00,22.94
"Houston, TX",2024,1608.25,83730.00,23.05
"Los Angeles, CA",2015,1812.58,72790.00,29.88
"Los Angeles, CA",2016,1924.75,75380.00,30.64
"Los Angeles, CA",2017,2038.50,76710.00,31.89
"Los Angeles, CA",2018,2135.75,77700.00,32.98
"Los Angeles, CA",2019,2221.83,83260.00,32.02
"Los Angeles, CA",2020,2246.42,81580.00,33.04
"Los Angeles, CA",2021,2379.50,81270.00,35.13
"Los Angeles, CA",2022,2658.25,79500.00,40.12
"Los Angeles, CA",2023,2738.83,82690.00,39.75
"Los Angeles, CA",2024,2802.83,83730.00,40.17
"Miami, FL",2015,1500.58,72790.00,24.74
"Miami, FL",2016,1555.00,75380.00,24.75
"Miami, FL",2017,1595.08,76710.00,24.95
"Miami, FL",2018,1642.92,77700.00,25.37
"Miami, FL",2019,1690.50,83260.00,24.36
"Miami, FL",2020,1733.08,81580.00,25.49
"Miami, FL",2021,2018.90,81270.00,29.81
"Miami, FL",2022,2470.33,79500.00,37.29
"Miami, FL",2023,2567.75,82690.00,37.26
"Miami, FL",2024,2613.33,83730.00,37.45
"New York, NY",2015,2215.75,72790.00,36.53
"New York, NY",2016,2271.25,75380.00,36.16
"New York, NY",2017,2312.33,76710.00,36.17
"New York, NY",2018,2356.75,77700.00,36.40
"New York, NY",2019,2428.50,83260.00,35.00
"New York, NY",2020,2379.70,81580.00,35.00
"New York, NY",2021,2410.92,81270.00,35.60
"New York, NY",2022,2809.17,79500.00,42.40
"New York, NY",2023,2957.67,82690.00,42.92
"New York, NY",2024,3073.50,83730.00,44.05
